sample_index,zip_path,crossings,time_seconds,return_code,status,timed_out,resource_limited,final_crossings,final_pd_code,mid_simplification_rounds,heuristic_failover_rounds,reidemeister_i_moves,reidemeister_ii_moves,reidemeister_iii_moves,nugatory_crossing_moves,tested_red_paths,tested_green_paths,last_path_search_mode,error
1,pd_code/data.random_knot_4570,307,4.436632899996766,0,ok,False,False,3,"PD[X[1,5,2,4],X[3,1,4,6],X[5,3,6,2]]",0,0,74,115,19,0,36,150,bruteforce,
2,pd_code/data.random_knot_3566,323,1.0234368999954313,0,ok,False,False,0,PD[],0,0,70,126,15,1,0,0,bruteforce,
3,pd_code/data.random_knot_4114,307,25.703933699995105,0,ok,False,False,9,"PD[X[1,4,2,5],X[3,18,4,1],X[5,2,6,3],X[6,10,7,9],X[8,12,9,11],X[10,8,11,7],X[12,15,13,16],X[14,17,15,18],X[16,13,17,14]]",0,0,68,113,10,4,31247,311565,bruteforce,
4,pd_code/data.random_knot_1299,165,0.15951379999751225,0,ok,False,False,3,"PD[X[1,4,2,5],X[3,6,4,1],X[5,2,6,3]]",0,0,66,48,0,0,36,150,bruteforce,
5,pd_code/data.random_knot_4,305,1.5037011000022176,0,ok,False,False,0,PD[],0,0,78,113,19,1,0,0,bruteforce,
6,pd_code/data.random_knot_3058,184,0.20566420000250218,0,ok,False,False,3,"PD[X[1,5,2,4],X[3,1,4,6],X[5,3,6,2]]",0,0,73,54,0,0,36,150,bruteforce,
7,pd_code/data.random_knot_1850,265,52.63148020000517,0,ok,False,False,6,"PD[X[1,5,2,4],X[3,7,4,6],X[5,3,6,2],X[8,12,9,11],X[10,8,11,7],X[12,10,1,9]]",0,0,69,94,6,2,29363,406582,bruteforce,
8,pd_code/data.random_knot_2411,230,0.28038970000488916,0,ok,False,False,0,PD[],0,0,82,74,1,0,0,0,bruteforce,
9,pd_code/data.random_knot_1197,174,0.17059639999934006,0,ok,False,False,0,PD[],0,0,64,55,1,0,0,0,bruteforce,
10,pd_code/data.random_knot_2160,235,0.36371380000491627,0,ok,False,False,0,PD[],0,0,87,74,9,0,0,0,bruteforce,
11,pd_code/data.random_knot_3690,186,0.1965349000020069,0,ok,False,False,0,PD[],0,0,62,62,1,0,0,0,bruteforce,
12,pd_code/data.random_knot_2254,204,0.2082479999953648,0,ok,False,False,0,PD[],0,0,68,68,6,0,0,0,bruteforce,
13,pd_code/data.random_knot_1789,280,0.4797552000018186,0,ok,False,False,0,PD[],0,0,65,107,7,1,0,0,bruteforce,
14,pd_code/data.random_knot_4629,202,0.22906840000359807,0,ok,False,False,0,PD[],0,0,70,66,0,0,0,0,bruteforce,
15,pd_code/data.random_knot_3013,184,0.2105952000056277,0,ok,False,False,0,PD[],0,0,56,63,4,2,0,0,bruteforce,
16,pd_code/data.random_knot_937,292,3.111172999997507,0,ok,False,False,0,PD[],0,0,79,106,26,1,0,0,bruteforce,
17,pd_code/data.random_knot_2053,325,0.7439166999974987,0,ok,False,False,0,PD[],0,0,79,123,8,0,0,0,bruteforce,
18,pd_code/data.random_knot_4167,226,36.12877049999952,0,ok,False,False,10,"PD[X[2,8,3,7],X[4,18,5,17],X[6,14,7,13],X[8,2,9,1],X[11,19,12,18],X[12,6,13,5],X[15,11,16,10],X[16,4,17,3],X[19,15,20,14],X[20,10,1,9]]",0,0,59,78,12,1,24999,494861,bruteforce,
19,pd_code/data.random_knot_4147,276,1.2706875000003492,0,ok,False,False,3,"PD[X[1,4,2,5],X[3,6,4,1],X[5,2,6,3]]",0,0,71,101,17,0,36,150,bruteforce,
20,pd_code/data.random_knot_907,208,0.3433472999968217,0,ok,False,False,0,PD[],0,0,78,65,2,0,0,0,bruteforce,
21,pd_code/data.random_knot_3004,201,0.23103249999985565,0,ok,False,False,0,PD[],0,0,87,57,2,0,0,0,bruteforce,
22,pd_code/data.random_knot_4873,240,0.42955329999676906,0,ok,False,False,3,"PD[X[1,4,2,5],X[3,6,4,1],X[5,2,6,3]]",0,0,83,77,7,0,36,150,bruteforce,
23,pd_code/data.random_knot_538,206,0.3554703000045265,0,ok,False,False,0,PD[],0,0,75,65,3,1,0,0,bruteforce,
24,pd_code/data.random_knot_2677,188,0.33647170000040205,0,ok,False,False,3,"PD[X[1,5,2,4],X[3,1,4,6],X[5,3,6,2]]",0,0,64,60,6,1,36,150,bruteforce,
25,pd_code/data.random_knot_4138,368,43.124724200002674,0,ok,False,False,6,"PD[X[1,7,2,6],X[3,9,4,8],X[5,10,6,11],X[7,3,8,2],X[9,1,10,12],X[11,4,12,5]]",0,0,84,139,26,0,26013,374199,bruteforce,
26,pd_code/data.random_knot_4798,259,0.5416311000008136,0,ok,False,False,0,PD[],0,0,76,91,4,1,0,0,bruteforce,
27,pd_code/data.random_knot_102,199,0.32109119999950053,0,ok,False,False,0,PD[],0,0,77,61,1,0,0,0,bruteforce,
28,pd_code/data.random_knot_3174,312,0.7952760999978636,0,ok,False,False,0,PD[],0,0,81,115,5,1,0,0,bruteforce,
29,pd_code/data.random_knot_810,256,54.9854484000025,0,ok,False,False,5,"PD[X[1,6,2,7],X[3,8,4,9],X[5,10,6,1],X[7,4,8,5],X[9,2,10,3]]",0,0,76,87,5,1,28372,410257,bruteforce,
30,pd_code/data.random_knot_835,196,37.659369900000456,0,ok,False,False,11,"PD[X[1,10,2,11],X[3,15,4,14],X[5,1,6,22],X[6,11,7,12],X[8,13,9,14],X[9,2,10,3],X[12,7,13,8],X[15,5,16,4],X[16,20,17,19],X[18,22,19,21],X[20,18,21,17]]",0,0,72,56,4,1,19194,295331,bruteforce,
