mode,runs,case_count,avg_time_seconds,total_time_seconds,avg_reduction_percent,total_reduction_percent,avg_reduction_crossings,avg_tested_green_paths,found_count,timeout_count
heuristic,10,10,0.9736755399964749,9.73675539996475,40.04765571034925,39.98543335761107,54.9,1018.1,10,0
bruteforce,10,10,19.144971460010858,191.44971460010856,31.813893741564527,31.828113619810633,43.7,9011.3,8,2
